"Route";"Question";"Range";"Scenario";"Year";"Indicator";"V1";"valuenew";"label"
"PV";"8_1";"Mean";"Baseline";"2030";"Installed capacity";1.14285714285714;"[-1.9]";"VLO"
"PV";"8_2";"Mean";"Baseline";"2050";"Installed capacity";1.28571428571429;"[-1.7]";"VLO"
"Wind";"14_1";"Mean";"Baseline";NA;"Sustained Annual Growth";1.5;"[-1.5]";"VLO"
"PV";"17_1";"Mean";"Baseline";"2030";"Share in electricity";1.5;"[-1.5]";"VLO"
"PV";"18_1";"Mean";"2 Degrees";"2030";"Share in electricity";1.5;"[-1.5]";"VLO"
"Wind";"18_2";"Mean";"2 Degrees";"2050";"Share in electricity";1.4;"[-1.6]";"VLO"
"Wind";"8_1";"Mean";"Baseline";"2030";"Installed capacity";1.66666666666667;"[-1.3]";"LO"
"Wind";"8_2";"Mean";"Baseline";"2050";"Installed capacity";2.16666666666667;"[-0.8]";"LO"
"Biomass";"8_1";"Mean";"Baseline";"2030";"Installed capacity";2.4;"[-0.6]";"LO"
"PV";"14_1";"Mean";"Baseline";NA;"Sustained Annual Growth";1.57142857142857;"[-1.4]";"LO"
"PV";"14_2";"Mean";"Baseline";NA;"Sustained Annual Growth";1.71428571428571;"[-1.3]";"LO"
"Wind";"14_2";"Mean";"Baseline";NA;"Sustained Annual Growth";2.2;"[-0.8]";"LO"
"PV";"17_2";"Mean";"Baseline";"2050";"Share in electricity";1.83333333333333;"[-1.2]";"LO"
"Wind";"17_1";"Mean";"Baseline";"2030";"Share in electricity";1.6;"[-1.4]";"LO"
"Wind";"17_2";"Mean";"Baseline";"2050";"Share in electricity";1.6;"[-1.4]";"LO"
"PV";"11_1";"Mean";"2 Degrees";"2030";"Installed capacity";1.57142857142857;"[-1.4]";"LO"
"PV";"11_2";"Mean";"2 Degrees";"2050";"Installed capacity";2.42857142857143;"[-0.6]";"LO"
"PV";"15_1";"Mean";"2 Degrees";NA;"Sustained Annual Growth";1.57142857142857;"[-1.4]";"LO"
"PV";"15_2";"Mean";"2 Degrees";NA;"Sustained Annual Growth";2.42857142857143;"[-0.6]";"LO"
"Wind";"15_2";"Mean";"2 Degrees";NA;"Sustained Annual Growth";2.33333333333333;"[-0.7]";"LO"
"PV";"18_2";"Mean";"2 Degrees";"2050";"Share in electricity";1.83333333333333;"[-1.2]";"LO"
"Wind";"18_1";"Mean";"2 Degrees";"2030";"Share in electricity";2.2;"[-0.8]";"LO"
"Biomass";"8_2";"Mean";"Baseline";"2050";"Installed capacity";2.8;"[-0.2]";"OK"
"Biomass";"14_1";"Mean";"Baseline";NA;"Sustained Annual Growth";2.77777777777778;"[-0.2]";"OK"
"Biomass";"14_2";"Mean";"Baseline";NA;"Sustained Annual Growth";3;"[0]";"OK"
"Nuclear";"14_2";"Mean";"Baseline";NA;"Sustained Annual Growth";3.16666666666667;"[0.2]";"OK"
"Biomass";"17_1";"Mean";"Baseline";"2030";"Share in electricity";2.57142857142857;"[-0.4]";"OK"
"Biomass";"17_2";"Mean";"Baseline";"2050";"Share in electricity";3;"[0]";"OK"
"Nuclear";"17_1";"Mean";"Baseline";"2030";"Share in electricity";3.4;"[0.4]";"OK"
"Nuclear";"17_2";"Mean";"Baseline";"2050";"Share in electricity";3.2;"[0.2]";"OK"
"Wind";"11_1";"Mean";"2 Degrees";"2030";"Installed capacity";3.33333333333333;"[0.3]";"OK"
"Wind";"11_2";"Mean";"2 Degrees";"2050";"Installed capacity";2.66666666666667;"[-0.3]";"OK"
"Biomass";"11_1";"Mean";"2 Degrees";"2030";"Installed capacity";3.1;"[0.1]";"OK"
"Nuclear";"11_2";"Mean";"2 Degrees";"2050";"Installed capacity";3.33333333333333;"[0.3]";"OK"
"Wind";"15_1";"Mean";"2 Degrees";NA;"Sustained Annual Growth";3.33333333333333;"[0.3]";"OK"
"Biomass";"15_1";"Mean";"2 Degrees";NA;"Sustained Annual Growth";3.11111111111111;"[0.1]";"OK"
"Biomass";"18_1";"Mean";"2 Degrees";"2030";"Share in electricity";3.14285714285714;"[0.1]";"OK"
"Nuclear";"8_1";"Mean";"Baseline";"2030";"Installed capacity";4;"[1]";"HI"
"Nuclear";"8_2";"Mean";"Baseline";"2050";"Installed capacity";3.83333333333333;"[0.8]";"HI"
"Nuclear";"14_1";"Mean";"Baseline";NA;"Sustained Annual Growth";3.66666666666667;"[0.7]";"HI"
"Biomass";"11_2";"Mean";"2 Degrees";"2050";"Installed capacity";4.22222222222222;"[1.2]";"HI"
"Nuclear";"11_1";"Mean";"2 Degrees";"2030";"Installed capacity";3.83333333333333;"[0.8]";"HI"
"Biomass";"15_2";"Mean";"2 Degrees";NA;"Sustained Annual Growth";4.125;"[1.1]";"HI"
"Nuclear";"15_1";"Mean";"2 Degrees";NA;"Sustained Annual Growth";4;"[1]";"HI"
"Nuclear";"15_2";"Mean";"2 Degrees";NA;"Sustained Annual Growth";3.66666666666667;"[0.7]";"HI"
"Biomass";"18_2";"Mean";"2 Degrees";"2050";"Share in electricity";3.85714285714286;"[0.9]";"HI"
"Nuclear";"18_1";"Mean";"2 Degrees";"2030";"Share in electricity";3.8;"[0.8]";"HI"
"Nuclear";"18_2";"Mean";"2 Degrees";"2050";"Share in electricity";3.6;"[0.6]";"HI"
