"Scenario";"Question";"IAMsAvg";"OtherAvg";"OwnAvg";"IAMsMin";"OtherMin";"OwnMin";"IAMsMax";"OtherMax";"OwnMax"
"Baseline";"Fossil+CCS";7.2;6.34285714285714;6.42857142857143;6.2;5;6.6;8;8;7
"Baseline";"Wind";2.8;3.05263157894737;2.42857142857143;2;2;1.9;3.4;4;3
"Baseline";"Nuclear";2.6;3.68421052631579;3.33333333333333;2;2;1.75;3.4;5.45;5
"Baseline";"PV";5.2;3.15789473684211;2.5;4.6;1.55;1;5.8;4.45;3.25
"Baseline";"Bioenergy+CCS";7.4;7;7.57142857142857;7;6;6.9;8;8;8
"Baseline";"Fossil";1;1.67567567567568;NA;1;1;NA;1;3;NA
"Baseline";"CSP";5.2;5.43243243243243;6;4.2;4;4;6;7;8
"Baseline";"Bioenergy";4.6;4.86842105263158;4.75;3.6;4;3.65;6;6;6
"2 Degrees";"Fossil+CCS";2.6;4.81081081081081;3.14285714285714;1;3;2.8;4.4;7;3.3
"2 Degrees";"Wind";2.4;2.41025641025641;1.71428571428571;2;1;1;2.8;4;2.1
"2 Degrees";"Nuclear";2.8;4.33333333333333;3.66666666666667;1;2;1.75;4.4;7;5.5
"2 Degrees";"PV";4.6;2.20512820512821;1.42857142857143;3.6;1;1;5.8;3.3;1.3
"2 Degrees";"Bioenergy+CCS";4.4;6.25;6.28571428571429;2.2;4.4;4.7;6.4;8;8
"2 Degrees";"Fossil";5.6;4.56756756756757;NA;4.2;1.55;NA;7;7.45;NA
"2 Degrees";"CSP";6;5.07894736842105;4.71428571428571;4.8;3;2.8;7.4;8;8
"2 Degrees";"Bioenergy";7.6;4.38461538461539;4.58333333333333;7.2;3;3;8;6;5.7
