"Route";"Range";"Year";"Question";"value";"Scenario";"count";"Routecount"
"Bio+CCS";"Lower limit";2030;"14_2_1_TEXT";2;"2 Degrees";2;"n= 2"
"Bio+CCS";"Lower limit";2030;"14_2_1_TEXT";0;"2 Degrees";2;"n= 2"
"Bio+CCS";"Lower limit";2050;"14_4_1_TEXT";30;"2 Degrees";3;"n= 3"
"Bio+CCS";"Lower limit";2050;"14_4_1_TEXT";1;"2 Degrees";3;"n= 3"
"Bio+CCS";"Lower limit";2050;"14_4_1_TEXT";3500;"2 Degrees";3;"n= 3"
"Bio+CCS";"Mean";2030;"14_2_2_TEXT";5;"2 Degrees";3;"n= 3"
"Bio+CCS";"Mean";2030;"14_2_2_TEXT";50;"2 Degrees";3;"n= 3"
"Bio+CCS";"Mean";2030;"14_2_2_TEXT";500;"2 Degrees";3;"n= 3"
"Bio+CCS";"Mean";2050;"14_4_2_TEXT";100;"2 Degrees";3;"n= 3"
"Bio+CCS";"Mean";2050;"14_4_2_TEXT";2;"2 Degrees";3;"n= 3"
"Bio+CCS";"Mean";2050;"14_4_2_TEXT";5000;"2 Degrees";3;"n= 3"
"Bio+CCS";"Upper limit";2030;"14_2_3_TEXT";10;"2 Degrees";2;"n= 2"
"Bio+CCS";"Upper limit";2030;"14_2_3_TEXT";100;"2 Degrees";2;"n= 2"
"Bio+CCS";"Upper limit";2050;"14_4_3_TEXT";500;"2 Degrees";3;"n= 3"
"Bio+CCS";"Upper limit";2050;"14_4_3_TEXT";3;"2 Degrees";3;"n= 3"
"Bio+CCS";"Upper limit";2050;"14_4_3_TEXT";7500;"2 Degrees";3;"n= 3"
"Total CCS";"Lower limit";2030;"13_2_1_TEXT";100;"2 Degrees";3;"n= 3"
"Total CCS";"Lower limit";2030;"13_2_1_TEXT";1000;"2 Degrees";3;"n= 3"
"Total CCS";"Lower limit";2030;"13_2_1_TEXT";200;"2 Degrees";3;"n= 3"
"Total CCS";"Lower limit";2050;"13_4_1_TEXT";1000;"2 Degrees";4;"n= 4"
"Total CCS";"Lower limit";2050;"13_4_1_TEXT";3000;"2 Degrees";4;"n= 4"
"Total CCS";"Lower limit";2050;"13_4_1_TEXT";12;"2 Degrees";4;"n= 4"
"Total CCS";"Lower limit";2050;"13_4_1_TEXT";10000;"2 Degrees";4;"n= 4"
"Total CCS";"Mean";2030;"13_2_2_TEXT";300;"2 Degrees";4;"n= 4"
"Total CCS";"Mean";2030;"13_2_2_TEXT";2000;"2 Degrees";4;"n= 4"
"Total CCS";"Mean";2030;"13_2_2_TEXT";400;"2 Degrees";4;"n= 4"
"Total CCS";"Mean";2030;"13_2_2_TEXT";1000;"2 Degrees";4;"n= 4"
"Total CCS";"Mean";2050;"13_4_2_TEXT";3000;"2 Degrees";4;"n= 4"
"Total CCS";"Mean";2050;"13_4_2_TEXT";6000;"2 Degrees";4;"n= 4"
"Total CCS";"Mean";2050;"13_4_2_TEXT";15;"2 Degrees";4;"n= 4"
"Total CCS";"Mean";2050;"13_4_2_TEXT";15000;"2 Degrees";4;"n= 4"
"Total CCS";"Upper limit";2030;"13_2_3_TEXT";500;"2 Degrees";3;"n= 3"
"Total CCS";"Upper limit";2030;"13_2_3_TEXT";3000;"2 Degrees";3;"n= 3"
"Total CCS";"Upper limit";2030;"13_2_3_TEXT";700;"2 Degrees";3;"n= 3"
"Total CCS";"Upper limit";2050;"13_4_3_TEXT";5000;"2 Degrees";4;"n= 4"
"Total CCS";"Upper limit";2050;"13_4_3_TEXT";9000;"2 Degrees";4;"n= 4"
"Total CCS";"Upper limit";2050;"13_4_3_TEXT";20;"2 Degrees";4;"n= 4"
"Total CCS";"Upper limit";2050;"13_4_3_TEXT";20000;"2 Degrees";4;"n= 4"
