"Route";"Question";"value";"Range";"Year";"Scenario";"Indicator"
"Total CCS";"13_2_1_TEXT";100;"Lower limit";2030;"2 Degrees";"Installed capacity"
"Total CCS";"13_2_1_TEXT";1000;"Lower limit";2030;"2 Degrees";"Installed capacity"
"Total CCS";"13_2_1_TEXT";200;"Lower limit";2030;"2 Degrees";"Installed capacity"
"Bio+CCS";"14_2_1_TEXT";2;"Lower limit";2030;"2 Degrees";"Installed capacity"
"Bio+CCS";"14_2_1_TEXT";0;"Lower limit";2030;"2 Degrees";"Installed capacity"
"Total CCS";"13_2_2_TEXT";300;"Mean";2030;"2 Degrees";"Installed capacity"
"Total CCS";"13_2_2_TEXT";2000;"Mean";2030;"2 Degrees";"Installed capacity"
"Total CCS";"13_2_2_TEXT";400;"Mean";2030;"2 Degrees";"Installed capacity"
"Total CCS";"13_2_2_TEXT";1000;"Mean";2030;"2 Degrees";"Installed capacity"
"Bio+CCS";"14_2_2_TEXT";5;"Mean";2030;"2 Degrees";"Installed capacity"
"Bio+CCS";"14_2_2_TEXT";50;"Mean";2030;"2 Degrees";"Installed capacity"
"Bio+CCS";"14_2_2_TEXT";500;"Mean";2030;"2 Degrees";"Installed capacity"
"Total CCS";"13_2_3_TEXT";500;"Upper limit";2030;"2 Degrees";"Installed capacity"
"Total CCS";"13_2_3_TEXT";3000;"Upper limit";2030;"2 Degrees";"Installed capacity"
"Total CCS";"13_2_3_TEXT";700;"Upper limit";2030;"2 Degrees";"Installed capacity"
"Bio+CCS";"14_2_3_TEXT";10;"Upper limit";2030;"2 Degrees";"Installed capacity"
"Bio+CCS";"14_2_3_TEXT";100;"Upper limit";2030;"2 Degrees";"Installed capacity"
"Total CCS";"13_4_1_TEXT";1000;"Lower limit";2050;"2 Degrees";"Installed capacity"
"Total CCS";"13_4_1_TEXT";3000;"Lower limit";2050;"2 Degrees";"Installed capacity"
"Total CCS";"13_4_1_TEXT";12;"Lower limit";2050;"2 Degrees";"Installed capacity"
"Total CCS";"13_4_1_TEXT";10000;"Lower limit";2050;"2 Degrees";"Installed capacity"
"Bio+CCS";"14_4_1_TEXT";30;"Lower limit";2050;"2 Degrees";"Installed capacity"
"Bio+CCS";"14_4_1_TEXT";1;"Lower limit";2050;"2 Degrees";"Installed capacity"
"Bio+CCS";"14_4_1_TEXT";3500;"Lower limit";2050;"2 Degrees";"Installed capacity"
"Total CCS";"13_4_2_TEXT";3000;"Mean";2050;"2 Degrees";"Installed capacity"
"Total CCS";"13_4_2_TEXT";6000;"Mean";2050;"2 Degrees";"Installed capacity"
"Total CCS";"13_4_2_TEXT";15;"Mean";2050;"2 Degrees";"Installed capacity"
"Total CCS";"13_4_2_TEXT";15000;"Mean";2050;"2 Degrees";"Installed capacity"
"Bio+CCS";"14_4_2_TEXT";100;"Mean";2050;"2 Degrees";"Installed capacity"
"Bio+CCS";"14_4_2_TEXT";2;"Mean";2050;"2 Degrees";"Installed capacity"
"Bio+CCS";"14_4_2_TEXT";5000;"Mean";2050;"2 Degrees";"Installed capacity"
"Total CCS";"13_4_3_TEXT";5000;"Upper limit";2050;"2 Degrees";"Installed capacity"
"Total CCS";"13_4_3_TEXT";9000;"Upper limit";2050;"2 Degrees";"Installed capacity"
"Total CCS";"13_4_3_TEXT";20;"Upper limit";2050;"2 Degrees";"Installed capacity"
"Total CCS";"13_4_3_TEXT";20000;"Upper limit";2050;"2 Degrees";"Installed capacity"
"Bio+CCS";"14_4_3_TEXT";500;"Upper limit";2050;"2 Degrees";"Installed capacity"
"Bio+CCS";"14_4_3_TEXT";3;"Upper limit";2050;"2 Degrees";"Installed capacity"
"Bio+CCS";"14_4_3_TEXT";7500;"Upper limit";2050;"2 Degrees";"Installed capacity"
