Model;Variable;Sector;Scenario;2015;2020;2025;2030;2035;2040;2045;2050
WISEE;Emissions|CO2;Pulp and Paper;CCS;23,890;20,857;16,127;10,500;-2,086;-13,023;-22,478;-30,081
WISEE;Emissions|CO2;Pulp and Paper;CIRC;23,890;20,808;15,243;9,868;4,713;2,398;0;0
WISEE;Emissions|CO2;Iron and Steel;CCS;193,707;196,899;189,101;187,714;156,156;111,861;75,214;32,040
WISEE;Emissions|CO2;Iron and Steel;CIRC;193,707;196,899;189,101;187,714;149,637;96,910;53,249;1,442
WISEE;Emissions|CO2;Chemical;CCS;33,642;29,982;27,156;22,020;12,876;3,263;3,253;3,346
WISEE;Emissions|CO2;Chemical;CIRC;33,642;31,881;29,278;19,519;9,527;1,248;-5,091;-8,355
WISEE;Final Energy;Pulp and Paper;CCS;100;95;89;84;78;74;69;65
WISEE;Final Energy;Pulp and Paper;CIRC;100;95;91;88;86;87;87;89
WISEE;Final Energy;Iron and Steel;CIRC;100;101;98;97;94;89;85;79
WISEE;Final Energy;Iron and Steel;CCS;100;101;98;97;100;101;103;105
WISEE;Final Energy;Chemical;CIRC;100;97;96;94;92;89;86;88
WISEE;Final Energy;Chemical;CCS;100;90;90;93;97;101;106;113
WISEE;Production;Chemical;CCS;100;101;96;97;100;103;107;108
WISEE;Production;Chemical;CIRC;100;101;96;97;100;103;105;106
